"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\Discrete.cpp", "C++", 41, 0, 2, 3, 46
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1419.cpp", "C++", 45, 0, 9, 0, 54
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1440.cpp", "C++", 22, 0, 0, 0, 22
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1496.cpp", "C++", 28, 0, 6, 0, 34
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1638.cpp", "C++", 40, 0, 6, 0, 46
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1886.cpp", "C++", 44, 0, 7, 2, 53
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P1955.cpp", "C++", 67, 0, 16, 1, 84
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P2032.cpp", "C++", 24, 0, 5, 0, 29
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P3143.cpp", "C++", 40, 0, 5, 0, 45
"d:\my_program\vscode\cpp_source\LinearComplexityOptimizitionAndDiscrete\luogu_P4086.cpp", "C++", 29, 0, 5, 0, 34
"d:\my_program\vscode\cpp_source\data.cpp", "C++", 9, 0, 0, 0, 9
"d:\my_program\vscode\cpp_source\data_structure\graph\getEulerPath.cpp", "C++", 34, 0, 1, 0, 35
"d:\my_program\vscode\cpp_source\data_structure\graph\getEulerPath2.cpp", "C++", 45, 0, 0, 0, 45
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1113.cpp", "C++", 46, 0, 0, 0, 46
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1127.cpp", "C++", 93, 0, 2, 0, 95
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1347.cpp", "C++", 74, 0, 0, 0, 74
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1363.cpp", "C++", 50, 0, 0, 0, 50
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1807.cpp", "C++", 42, 0, 1, 0, 43
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P1983.cpp", "C++", 61, 0, 6, 0, 67
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P3916.cpp", "C++", 44, 0, 0, 0, 44
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P4017.cpp", "C++", 76, 0, 0, 0, 76
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P4017_2.cpp", "C++", 61, 0, 0, 0, 61
"d:\my_program\vscode\cpp_source\data_structure\graph\luogu_P5318.cpp", "C++", 50, 0, 6, 0, 56
"d:\my_program\vscode\cpp_source\data_structure\graph\图的小结.md", "Markdown", 0, 284, 0, 32, 316
"d:\my_program\vscode\cpp_source\data_structure\hash\P1918.cpp", "C++", 38, 0, 0, 0, 38
"d:\my_program\vscode\cpp_source\data_structure\hash\P3370.cpp", "C++", 39, 0, 0, 0, 39
"d:\my_program\vscode\cpp_source\data_structure\hash\P3370_single_hash.cpp", "C++", 32, 0, 0, 0, 32
"d:\my_program\vscode\cpp_source\data_structure\hash\P4305.cpp", "C++", 41, 0, 0, 0, 41
"d:\my_program\vscode\cpp_source\data_structure\hash\P5266.cpp", "C++", 76, 0, 0, 0, 76
"d:\my_program\vscode\cpp_source\data_structure\hash\hash_map.cpp", "C++", 21, 0, 0, 0, 21
"d:\my_program\vscode\cpp_source\data_structure\hash\hash_table.cpp", "C++", 24, 0, 1, 0, 25
"d:\my_program\vscode\cpp_source\data_structure\map\P3405.cpp", "C++", 36, 0, 0, 0, 36
"d:\my_program\vscode\cpp_source\data_structure\segmentTree\basic.cpp", "C++", 76, 0, 18, 8, 102
"d:\my_program\vscode\cpp_source\data_structure\segmentTree\luogu_P2574.cpp", "C++", 71, 0, 8, 0, 79
"d:\my_program\vscode\cpp_source\data_structure\segmentTree\luogu_P3372.cpp", "C++", 69, 0, 8, 4, 81
"d:\my_program\vscode\cpp_source\data_structure\segmentTree\luogu_P3373.cpp", "C++", 100, 0, 6, 1, 107
"d:\my_program\vscode\cpp_source\data_structure\set\P1551.cpp", "C++", 34, 0, 0, 0, 34
"d:\my_program\vscode\cpp_source\data_structure\set\P1551_uset.cpp", "C++", 36, 0, 0, 0, 36
"d:\my_program\vscode\cpp_source\data_structure\set\P5250.cpp", "C++", 30, 0, 0, 0, 30
"d:\my_program\vscode\cpp_source\data_structure\tree\lca_Tarjan.cpp", "C++", 29, 0, 0, 1, 30
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P1229.cpp", "C++", 28, 0, 1, 0, 29
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P1229_better.cpp", "C++", 13, 0, 0, 0, 13
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P1364.cpp", "C++", 39, 0, 2, 0, 41
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P3884.cpp", "C++", 69, 0, 1, 0, 70
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P4715.cpp", "C++", 25, 0, 0, 0, 25
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P5076.cpp", "C++", 104, 0, 0, 0, 104
"d:\my_program\vscode\cpp_source\data_structure\tree\luogu_P5076_others.cpp", "C++", 0, 0, 0, 1, 1
"d:\my_program\vscode\cpp_source\data_structure\tree\simple_lca.cpp", "C++", 42, 0, 0, 0, 42
"d:\my_program\vscode\cpp_source\data_structure\unionSet\P1111.cpp", "C++", 44, 0, 0, 0, 44
"d:\my_program\vscode\cpp_source\data_structure\unionSet\P1525.cpp", "C++", 46, 0, 0, 0, 46
"d:\my_program\vscode\cpp_source\data_structure\unionSet\P1536.cpp", "C++", 39, 0, 0, 0, 39
"d:\my_program\vscode\cpp_source\data_structure\unionSet\luogu_P3367.cpp", "C++", 35, 0, 1, 0, 36
"d:\my_program\vscode\cpp_source\data_structure\unionSet\union_set.cpp", "C++", 39, 0, 0, 1, 40
"d:\my_program\vscode\cpp_source\dp\PackProblem\AccessibleProblem.cpp", "C++", 21, 0, 9, 0, 30
"d:\my_program\vscode\cpp_source\dp\PackProblem\CompletePack.cpp", "C++", 23, 0, 5, 0, 28
"d:\my_program\vscode\cpp_source\dp\PackProblem\GroupProblem.cpp", "C++", 15, 0, 6, 1, 22
"d:\my_program\vscode\cpp_source\dp\PackProblem\MultiplePack.cpp", "C++", 29, 0, 12, 3, 44
"d:\my_program\vscode\cpp_source\dp\PackProblem\ZeroOnePack.cpp", "C++", 35, 0, 10, 4, 49
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1049.cpp", "C++", 20, 0, 5, 0, 25
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1064.cpp", "C++", 53, 0, 10, 0, 63
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1164.cpp", "C++", 20, 0, 5, 0, 25
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1507.cpp", "C++", 24, 0, 5, 0, 29
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1757.cpp", "C++", 35, 0, 5, 0, 40
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P1833.cpp", "C++", 49, 0, 5, 0, 54
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P2347.cpp", "C++", 27, 0, 5, 0, 32
"d:\my_program\vscode\cpp_source\dp\PackProblem\luogu_P5365.cpp", "C++", 32, 0, 7, 0, 39
"d:\my_program\vscode\cpp_source\dp\PackProblem\背包九讲学习笔记.md", "Markdown", 0, 197, 0, 60, 257
"d:\my_program\vscode\cpp_source\dp\lineardp\lis.cpp", "C++", 60, 0, 15, 0, 75
"d:\my_program\vscode\cpp_source\dp\lineardp\luogu_P1439_100.cpp", "C++", 41, 0, 6, 0, 47
"d:\my_program\vscode\cpp_source\dp\lineardp\luogu_P1439_50.cpp", "C++", 29, 0, 5, 0, 34
"d:\my_program\vscode\cpp_source\hangdian\10.cpp", "C++", 21, 0, 1, 0, 22
"d:\my_program\vscode\cpp_source\hangdian\11.cpp", "C++", 51, 0, 1, 0, 52
"d:\my_program\vscode\cpp_source\hangdian\2.cpp", "C++", 93, 0, 0, 1, 94
"d:\my_program\vscode\cpp_source\hangdian\3.cpp", "C++", 32, 0, 1, 0, 33
"d:\my_program\vscode\cpp_source\math\arithmeticcal\CRT\luogu_P1495.cpp", "C++", 28, 0, 9, 0, 37
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\UVA10104.cpp", "C++", 20, 0, 9, 0, 29
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\gcd.cpp", "C++", 19, 0, 0, 0, 19
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\gcdExtra.cpp", "C++", 5, 0, 7, 0, 12
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\luogu_P1082.cpp", "C++", 17, 0, 5, 0, 22
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\luogu_P1516.cpp", "C++", 26, 0, 22, 1, 49
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\luogu_P3951.cpp", "C++", 12, 0, 5, 0, 17
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\luogu_P4942.cpp", "C++", 23, 0, 5, 0, 28
"d:\my_program\vscode\cpp_source\math\arithmeticcal\Euclid\扩展欧几里得算法.md", "Markdown", 0, 17, 0, 9, 26
"d:\my_program\vscode\cpp_source\math\arithmeticcal\EulerFunction\Euler_phi.cpp", "C++", 25, 0, 1, 1, 27
"d:\my_program\vscode\cpp_source\math\arithmeticcal\EulerFunction\Pollard_rho.cpp", "C++", 0, 0, 2, 1, 3
"d:\my_program\vscode\cpp_source\math\arithmeticcal\EulerFunction\欧拉函数.md", "Markdown", 0, 149, 0, 33, 182
"d:\my_program\vscode\cpp_source\math\arithmeticcal\MMI\getMMI.cpp", "C++", 0, 0, 0, 1, 1
"d:\my_program\vscode\cpp_source\math\arithmeticcal\MMI\luogu_P3811.cpp", "C++", 18, 0, 10, 0, 28
"d:\my_program\vscode\cpp_source\math\arithmeticcal\UVA11582.cpp", "C++", 46, 0, 10, 0, 56
"d:\my_program\vscode\cpp_source\math\arithmeticcal\prime\get_prime_Eratosthenes.cpp", "C++", 30, 0, 2, 0, 32
"d:\my_program\vscode\cpp_source\math\arithmeticcal\prime\get_prime_Euler.cpp", "C++", 27, 0, 0, 0, 27
"d:\my_program\vscode\cpp_source\math\arithmeticcal\整数划分.cpp", "C++", 24, 0, 5, 0, 29
"d:\my_program\vscode\cpp_source\math\basic\BasicMathProblem.md", "Markdown", 0, 244, 0, 32, 276
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1017.cpp", "C++", 25, 0, 6, 0, 31
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1029.cpp", "C++", 38, 0, 4, 0, 42
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1069.cpp", "C++", 73, 0, 16, 0, 89
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1072.cpp", "C++", 44, 0, 9, 0, 53
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1100.cpp", "C++", 10, 0, 5, 0, 15
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1143.cpp", "C++", 30, 0, 6, 1, 37
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1246.cpp", "C++", 45, 0, 4, 0, 49
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1403.cpp", "C++", 14, 0, 6, 0, 20
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1469.cpp", "C++", 18, 0, 5, 0, 23
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1572.cpp", "C++", 43, 0, 7, 3, 53
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1835.cpp", "C++", 38, 0, 11, 2, 51
"d:\my_program\vscode\cpp_source\math\basic\luogu_P1866.cpp", "C++", 26, 0, 5, 0, 31
"d:\my_program\vscode\cpp_source\math\basic\luogu_P2638.cpp", "C++", 31, 0, 6, 0, 37
"d:\my_program\vscode\cpp_source\math\basic\luogu_P2651.cpp", "C++", 32, 0, 5, 0, 37
"d:\my_program\vscode\cpp_source\math\basic\luogu_P2789.cpp", "C++", 20, 0, 9, 0, 29
"d:\my_program\vscode\cpp_source\math\basic\luogu_P2822.cpp", "C++", 42, 0, 5, 0, 47
"d:\my_program\vscode\cpp_source\math\basic\luogu_P3383.cpp", "C++", 39, 0, 3, 0, 42
"d:\my_program\vscode\cpp_source\math\basic\luogu_P3601.cpp", "C++", 44, 0, 6, 0, 50
"d:\my_program\vscode\cpp_source\math\basic\luogu_P3913.cpp", "C++", 31, 0, 5, 0, 36
"d:\my_program\vscode\cpp_source\math\basic\luogu_P4057.cpp", "C++", 17, 0, 5, 0, 22
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P1719.cpp", "C++", 34, 0, 5, 0, 39
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P2004.cpp", "C++", 33, 0, 0, 0, 33
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P2671.cpp", "C++", 40, 0, 5, 0, 45
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P3397.cpp", "C++", 29, 0, 0, 0, 29
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P3406.cpp", "C++", 33, 0, 5, 1, 39
"d:\my_program\vscode\cpp_source\prefix_sum\luogu_P5638.cpp", "C++", 21, 0, 5, 0, 26
"d:\my_program\vscode\cpp_source\test\bitset.cpp", "C++", 12, 0, 0, 0, 12
"d:\my_program\vscode\cpp_source\test\helloworld.cpp", "C++", 6, 0, 1, 0, 7
"d:\my_program\vscode\cpp_source\test\modtest.cpp", "C++", 9, 0, 3, 0, 12
"d:\my_program\vscode\cpp_source\test\scanf.cpp", "C++", 18, 0, 4, 0, 22
"d:\my_program\vscode\cpp_source\test\sort.cpp", "C++", 17, 0, 0, 0, 17
"d:\my_program\vscode\cpp_source\test\test_INF.cpp", "C++", 7, 0, 0, 0, 7
"d:\my_program\vscode\cpp_source\test\test_set_lower_bound.cpp", "C++", 18, 0, 13, 0, 31
"d:\my_program\vscode\cpp_source\test\vector.cpp", "C++", 12, 0, 0, 0, 12
"d:\my_program\vscode\learnCpp\IO_H.cpp", "C++", 26, 0, 3, 2, 31
"d:\my_program\vscode\learnCpp\binaryoi.cpp", "C++", 29, 0, 0, 2, 31
"d:\my_program\vscode\learnCpp\ch8\1_2.cpp", "C++", 26, 0, 0, 0, 26
"d:\my_program\vscode\learnCpp\ch8\1_3.cpp", "C++", 19, 0, 0, 0, 19
"d:\my_program\vscode\learnCpp\deleteFile.cpp", "C++", 13, 0, 27, 2, 42
"d:\my_program\vscode\learnCpp\deriveTest.cpp", "C++", 36, 0, 2, 7, 45
"d:\my_program\vscode\learnCpp\ioTest.cpp", "C++", 29, 0, 7, 12, 48
"d:\my_program\vscode\learnCpp\macroTest.cpp", "C++", 10, 0, 0, 3, 13
"d:\my_program\vscode\learnCpp\modifyLine.cpp", "C++", 21, 0, 5, 1, 27
"d:\my_program\vscode\learnCpp\seekgTest.cpp", "C++", 18, 0, 0, 0, 18
"d:\my_program\vscode\learnCpp\signalTest.cpp", "C++", 22, 0, 4, 8, 34
"d:\my_program\vscode\learnCpp\sstream.cpp", "C++", 14, 0, 4, 0, 18
"d:\my_program\vscode\learnCpp\templateClassTest.cpp", "C++", 58, 0, 1, 13, 72
"d:\my_program\vscode\learnCpp\templateTest.cpp", "C++", 22, 0, 0, 5, 27
"d:\my_program\vscode\learnCpp\timeTest.cpp", "C++", 10, 0, 0, 0, 10
"d:\my_program\vscode\learnCpp\virtualTest.cpp", "C++", 31, 0, 0, 5, 36
"d:\my_program\vscode\luogu\luogu_P1032.cpp", "C++", 50, 0, 3, 0, 53
"d:\my_program\vscode\luogu\luogu_P1115.cpp", "C++", 34, 0, 5, 0, 39
"d:\my_program\vscode\luogu\luogu_P1160.cpp", "C++", 46, 0, 3, 0, 49
"d:\my_program\vscode\luogu\luogu_P1241.cpp", "C++", 47, 0, 0, 1, 48
"d:\my_program\vscode\luogu\luogu_P1433.cpp", "C++", 44, 0, 1, 0, 45
"d:\my_program\vscode\luogu\luogu_P1449.cpp", "C++", 31, 0, 0, 0, 31
"d:\my_program\vscode\luogu\luogu_P1825.cpp", "C++", 72, 0, 5, 1, 78
"d:\my_program\vscode\luogu\luogu_P1825_others.cpp", "C++", 62, 0, 0, 1, 63
"d:\my_program\vscode\luogu\luogu_P1996.cpp", "C++", 22, 0, 0, 0, 22
"d:\my_program\vscode\luogu\luogu_P2058.cpp", "C++", 34, 0, 0, 0, 34
"d:\my_program\vscode\luogu\luogu_P2058_queue.cpp", "C++", 30, 0, 0, 0, 30
"d:\my_program\vscode\luogu\luogu_P2234.cpp", "C++", 31, 0, 0, 0, 31
"d:\my_program\vscode\luogu\luogu_P2249.cpp", "C++", 29, 0, 5, 0, 34
"d:\my_program\vscode\luogu\luogu_askID_P3156.cpp", "C++", 17, 0, 0, 0, 17
"d:\my_program\vscode\luogu\luogu_registBag_P3613.cpp", "C++", 27, 0, 0, 0, 27
"d:\my_program\vscode\nowcoder\10th\A.cpp", "C++", 68, 0, 0, 0, 68
"d:\my_program\vscode\nowcoder\10th\AA.cpp", "C++", 29, 0, 0, 1, 30
"d:\my_program\vscode\nowcoder\10th\I.cpp", "C++", 13, 0, 0, 1, 14
"d:\my_program\vscode\nowcoder\3rd\D_TwoMatchings.cpp", "C++", 36, 0, 0, 0, 36
"d:\my_program\vscode\nowcoder\4th\3.cpp", "C++", 44, 0, 1, 0, 45
"d:\my_program\vscode\nowcoder\4th\B.cpp", "C++", 37, 0, 5, 1, 43
"d:\my_program\vscode\nowcoder\4th\Bliuhao.cpp", "C++", 145, 0, 1, 15, 161
"d:\my_program\vscode\nowcoder\4th\F.cpp", "C++", 20, 0, 0, 0, 20
"d:\my_program\vscode\nowcoder\4th\mod.cpp", "C++", 118, 0, 0, 0, 118
"d:\my_program\vscode\nowcoder\4th\table.cpp", "C++", 0, 0, 0, 1, 1
"d:\my_program\vscode\nowcoder\4th\temp.cpp", "C++", 25, 0, 0, 1, 26
"d:\my_program\vscode\nowcoder\5th\BigIntegerTest.cpp", "C++", 145, 0, 11, 12, 168
"d:\my_program\vscode\nowcoder\5th\E.cpp", "C++", 194, 0, 10, 12, 216
"d:\my_program\vscode\nowcoder\5th\F.cpp", "C++", 34, 0, 0, 0, 34
"d:\my_program\vscode\nowcoder\6th\C.cpp", "C++", 31, 0, 4, 0, 35
"d:\my_program\vscode\nowcoder\7th\B.cpp", "C++", 33, 0, 0, 0, 33
"d:\my_program\vscode\nowcoder\7th\C.cpp", "C++", 30, 0, 0, 0, 30
"d:\my_program\vscode\nowcoder\7th\Ctest.cpp", "C++", 11, 0, 2, 0, 13
"d:\my_program\vscode\nowcoder\7th\H.cpp", "C++", 42, 0, 0, 0, 42
"d:\my_program\vscode\nowcoder\7th\Htest.cpp", "C++", 26, 0, 1, 0, 27
"d:\my_program\vscode\nowcoder\7th\Htest_getyinzi.cpp", "C++", 19, 0, 0, 0, 19
"d:\my_program\vscode\nowcoder\7th\Htest_mod.cpp", "C++", 10, 0, 3, 0, 13
"d:\my_program\vscode\nowcoder\8th\I.cpp", "C++", 52, 0, 0, 0, 52
"d:\my_program\vscode\nowcoder\8th\I_pan.cpp", "C++", 33, 0, 1, 0, 34
"d:\my_program\vscode\nowcoder\8th\test.cpp", "C++", 9, 0, 0, 0, 9
"d:\my_program\vscode\nowcoder\9th\A.cpp", "C++", 135, 0, 6, 7, 148
"d:\my_program\vscode\nowcoder\9th\F.cpp", "C++", 45, 0, 0, 1, 46
"d:\my_program\vscode\nowcoder\9th\F_pan.cpp", "C++", 42, 0, 1, 14, 57
"d:\my_program\vscode\nowcoder\9th\I.cpp", "C++", 41, 0, 0, 7, 48
"Total", "-", 6746, 891, 623, 344, 8604